_id.programme,_id.year,count,totalCost,avgTotalCost,stdDevTotalCost,minTotalCost,maxTotalCost,ecMaxContribution,avgEcMaxContribution,stdDevEcMaxContribution,minEcMaxContribution,maxEcMaxContribution,programeDesc.RCN,programeDesc.Code,programeDesc.Title,programeDesc.ShortTitle
FP7-IDEAS-ERC,2020,18,1.37347887e+08,7.630438166666667e+06,4.897031910396589e+06,1.689631e+06,1.4983261e+07,1.37347887e+08,7.630438166666667e+06,4.897031910396589e+06,1.689631e+06,1.4983261e+07,,FP7-IDEAS-ERC,"Programme spécifique ""Idées"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Idées"""
FP7-EURATOM-FISSION,2008,18,9.1494209e+07,5.083011611111111e+06,6.152524187927362e+06,25000,2.378336e+07,4.8338817e+07,2.6854898333333335e+06,2.589626451881778e+06,25000,8.999e+06,,FP7-EURATOM-FISSION,EURATOM: Fission nucléaire et radioprotection,Fission nucléaire et radioprotection
FP7-GA,2009,18,4.26571715e+08,2.3698428611111112e+07,6.406281605020898e+07,107754,2.80086352e+08,3.05362266e+08,1.6964570333333332e+07,5.671365927302208e+07,95186,2.5e+08,,FP7-GA,Coordination de programmes de recherche non communautaires,Programmes de recherche non communautaires
FP7-ENERGY,2018,17,7.14154419e+08,4.200908347058824e+07,4.8187176210124694e+07,9.219967e+06,2.24588486e+08,2.88905431e+08,1.699443711764706e+07,9.01665628126242e+06,5.681652e+06,3.5499975e+07,,FP7-ENERGY,"Programme spécifique ""Coopération"": Énergie",Énergie
FP7-REGIONS,2008,17,1.2105457e+07,712085.7058823529,373638.0936314719,189840,1.265948e+06,1.0186388e+07,599199.2941176471,313784.0884703187,169924,984239,,FP7-REGIONS,"Programme spécifique ""Capacités"": Régions de la connaissance",Régions de la connaissance
FP7-HEALTH,2019,17,1.99195698e+08,1.1717394e+07,9.109592246415397e+06,5.839077e+06,3.9560968e+07,1.48010194e+08,8.706482e+06,6.917947233753471e+06,4.5e+06,2.9998903e+07,,FP7-HEALTH,"Programme spécifique ""Coopération"": Santé",Santé
FP7-GA,2011,17,4.26853537e+08,2.5109031588235293e+07,6.56480927928637e+07,270425,2.80086352e+08,3.05925463e+08,1.7995615470588237e+07,5.819412940389549e+07,241253,2.5e+08,,FP7-GA,Coordination de programmes de recherche non communautaires,Programmes de recherche non communautaires
FP7-GA,2012,17,4.35210734e+08,2.5600631411764707e+07,6.549303176665265e+07,289161,2.80086352e+08,3.10458188e+08,1.8262246352941178e+07,5.812355781419497e+07,203750,2.5e+08,,FP7-GA,Coordination de programmes de recherche non communautaires,Programmes de recherche non communautaires
FP7-INCO,2008,17,3.351971e+07,1.9717476470588236e+06,1.708677250327383e+06,486783,4.937798e+06,2.7164905e+07,1.5979355882352942e+06,1.541788526699776e+06,369821,4.199999e+06,,FP7-INCO,"Programme spécifique ""Capacités"": Coopération internationale",Coopération internationale
FP7-REGPOT,2017,17,5.6849017e+07,3.3440598235294116e+06,1.053916158848301e+06,2.280766e+06,5.383242e+06,4.7948549e+07,2.820502882352941e+06,1.0475557529938798e+06,1.842818e+06,4.811e+06,,FP7-REGPOT,"Programme spécifique ""Capacités"": Potentiel de recherche des régions de convergence",Potentiel de recherche des régions de convergence
FP7-JTI,2009,15,1.00454472e+08,6.6969648e+06,1.643374790211657e+07,44567,5.8300757e+07,1.8519752e+07,1.2346501333333333e+06,2.7012758754747943e+06,33425,9.736226e+06,,FP7-JTI,"Programme spécifique ""Coopération"": Initiatives technologiques conjointes",Initiatives technologiques conjointes
FP7-SIS,2017,15,5.2368099e+07,3.4912066e+06,1.1103821598419046e+06,1.22966e+06,4.669382e+06,4.0648239e+07,2.7098826e+06,957939.5100908895,999341,3.995765e+06,,FP7-SIS,"Programme spécifique ""Capacités"": La science dans la société",La science dans la société
